3-flouroaniline, 100 micron spacers  Temp. [K]=1.1900e+02
Fixed value(s) :  Temp. [K] = 1.190e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26218e-04	 29744e-06
 66667e+02	 26084e-04	 14016e-06
 44444e+02	 25984e-04	 70417e-07
 29630e+02	 25928e-04	 69134e-07
 19753e+02	 25901e-04	 71804e-07
 13169e+02	 25908e-04	 78918e-07
 87791e+01	 25928e-04	 84895e-07
 58528e+01	 25944e-04	 88106e-07
 39018e+01	 25965e-04	 93804e-07
 26012e+01	 25987e-04	 10018e-06
 17342e+01	 26009e-04	 11251e-06
 11561e+01	 26049e-04	 11623e-06
 77073e+00	 26075e-04	 11376e-06
 51382e+00	 26103e-04	 11866e-06
 34255e+00	 26133e-04	 12445e-06
 22837e+00	 26165e-04	 13054e-06
 15224e+00	 26199e-04	 13676e-06
 10150e+00	 26235e-04	 14296e-06
 67664e-01	 26273e-04	 14861e-06
 45109e-01	 26312e-04	 15446e-06
 30073e-01	 26353e-04	 15996e-06
 20049e-01	 26395e-04	 16487e-06
 13366e-01	 26438e-04	 16969e-06
 89105e-02	 26483e-04	 17376e-06
 59403e-02	 26529e-04	 17746e-06
 39602e-02	 26575e-04	 18088e-06
 26401e-02	 26623e-04	 18383e-06
 17601e-02	 26671e-04	 18620e-06
 11734e-02	 26720e-04	 18778e-06
 78226e-03	 26768e-04	 18932e-06
 52151e-03	 26820e-04	 18898e-06
 34767e-03	 26868e-04	 18938e-06
 23178e-03	 26917e-04	 18909e-06
 15452e-03	 26966e-04	 18889e-06
 10301e-03	 27015e-04	 18708e-06
 68676e-04	 27063e-04	 18551e-06
 45784e-04	 27111e-04	 18269e-06
 30523e-04	 27158e-04	 18062e-06
 20348e-04	 27204e-04	 17770e-06
 13566e-04	 27249e-04	 17567e-06
 90438e-05	 27294e-04	 17399e-06
 60292e-05	 27336e-04	 16870e-06
 40195e-05	 27380e-04	 16731e-06
 26796e-05	 27421e-04	 16330e-06
 17864e-05	 27462e-04	 16021e-06
 11909e-05	 27500e-04	 15686e-06
 79397e-06	 27541e-04	 15492e-06
 52931e-06	 27579e-04	 15390e-06
 35287e-06	 27620e-04	 15219e-06
 23525e-06	 27653e-04	 15512e-06
 15683e-06	 27691e-04	 15385e-06
 10000e-06	 27736e-04	 15403e-06
