3-flouroaniline, 100 micron spacers  Temp. [K]=1.2200e+02
Fixed value(s) :  Temp. [K] = 1.220e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26225e-04	 30220e-06
 66667e+02	 26088e-04	 14483e-06
 44444e+02	 25991e-04	 75377e-07
 29630e+02	 25935e-04	 74879e-07
 19753e+02	 25910e-04	 78226e-07
 13169e+02	 25918e-04	 85717e-07
 87791e+01	 25940e-04	 92476e-07
 58528e+01	 25958e-04	 96139e-07
 39018e+01	 25982e-04	 10249e-06
 26012e+01	 26006e-04	 10961e-06
 17342e+01	 26031e-04	 12485e-06
 11561e+01	 26073e-04	 12404e-06
 77073e+00	 26101e-04	 12408e-06
 51382e+00	 26131e-04	 12979e-06
 34255e+00	 26166e-04	 13635e-06
 22837e+00	 26201e-04	 14264e-06
 15224e+00	 26238e-04	 14915e-06
 10150e+00	 26277e-04	 15576e-06
 67664e-01	 26318e-04	 16174e-06
 45109e-01	 26361e-04	 16754e-06
 30073e-01	 26405e-04	 17294e-06
 20049e-01	 26451e-04	 17762e-06
 13366e-01	 26497e-04	 18209e-06
 89105e-02	 26545e-04	 18603e-06
 59403e-02	 26594e-04	 18918e-06
 39602e-02	 26644e-04	 19240e-06
 26401e-02	 26695e-04	 19469e-06
 17601e-02	 26746e-04	 19640e-06
 11734e-02	 26797e-04	 19721e-06
 78226e-03	 26848e-04	 19790e-06
 52151e-03	 26899e-04	 19714e-06
 34767e-03	 26951e-04	 19629e-06
 23178e-03	 27002e-04	 19509e-06
 15452e-03	 27052e-04	 19347e-06
 10301e-03	 27103e-04	 19102e-06
 68676e-04	 27151e-04	 18902e-06
 45784e-04	 27199e-04	 18545e-06
 30523e-04	 27247e-04	 18236e-06
 20348e-04	 27295e-04	 17788e-06
 13566e-04	 27339e-04	 17577e-06
 90438e-05	 27383e-04	 17262e-06
 60292e-05	 27426e-04	 16876e-06
 40195e-05	 27468e-04	 16607e-06
 26796e-05	 27511e-04	 16468e-06
 17864e-05	 27550e-04	 16279e-06
 11909e-05	 27591e-04	 16023e-06
 79397e-06	 27630e-04	 15957e-06
 52931e-06	 27666e-04	 15731e-06
 35287e-06	 27708e-04	 15813e-06
 23525e-06	 27744e-04	 16031e-06
 15683e-06	 27781e-04	 16431e-06
 10000e-06	 27824e-04	 16294e-06
