3-flouroaniline, 100 micron spacers  Temp. [K]=1.4300e+02
Fixed value(s) :  Temp. [K] = 1.430e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26355e-04	 35120e-06
 66667e+02	 26231e-04	 19771e-06
 44444e+02	 26145e-04	 13295e-06
 29630e+02	 26104e-04	 13777e-06
 19753e+02	 26095e-04	 14638e-06
 13169e+02	 26122e-04	 16032e-06
 87791e+01	 26164e-04	 17235e-06
 58528e+01	 26204e-04	 18084e-06
 39018e+01	 26250e-04	 19355e-06
 26012e+01	 26298e-04	 20587e-06
 17342e+01	 26360e-04	 21450e-06
 11561e+01	 26413e-04	 21823e-06
 77073e+00	 26469e-04	 22580e-06
 51382e+00	 26528e-04	 23363e-06
 34255e+00	 26590e-04	 24026e-06
 22837e+00	 26654e-04	 24643e-06
 15224e+00	 26719e-04	 25172e-06
 10150e+00	 26786e-04	 25494e-06
 67664e-01	 26853e-04	 25785e-06
 45109e-01	 26921e-04	 25913e-06
 30073e-01	 26989e-04	 25963e-06
 20049e-01	 27057e-04	 25856e-06
 13366e-01	 27125e-04	 25685e-06
 89105e-02	 27191e-04	 25391e-06
 59403e-02	 27257e-04	 24990e-06
 39602e-02	 27322e-04	 24518e-06
 26401e-02	 27385e-04	 24016e-06
 17601e-02	 27446e-04	 23466e-06
 11734e-02	 27506e-04	 22863e-06
 78226e-03	 27564e-04	 22269e-06
 52151e-03	 27619e-04	 21794e-06
 34767e-03	 27674e-04	 21238e-06
 23178e-03	 27727e-04	 20794e-06
 15452e-03	 27779e-04	 20452e-06
 10301e-03	 27829e-04	 20216e-06
 68676e-04	 27879e-04	 20068e-06
 45784e-04	 27929e-04	 20158e-06
 30523e-04	 27977e-04	 20299e-06
 20348e-04	 28029e-04	 20791e-06
 13566e-04	 28080e-04	 21133e-06
 90438e-05	 28132e-04	 22048e-06
 60292e-05	 28186e-04	 22971e-06
 40195e-05	 28244e-04	 24370e-06
 26796e-05	 28304e-04	 25627e-06
 17864e-05	 28368e-04	 27420e-06
 11909e-05	 28434e-04	 29670e-06
 79397e-06	 28507e-04	 32205e-06
 52931e-06	 28585e-04	 34605e-06
 35287e-06	 28674e-04	 37555e-06
 23525e-06	 28761e-04	 41288e-06
 15683e-06	 28857e-04	 45127e-06
 10000e-06	 28981e-04	 50693e-06
