3-flouroaniline, 100 micron spacers  Temp. [K]=1.4000e+02
Fixed value(s) :  Temp. [K] = 1.400e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26323e-04	 34117e-06
 66667e+02	 26197e-04	 18692e-06
 44444e+02	 26108e-04	 12117e-06
 29630e+02	 26065e-04	 12498e-06
 19753e+02	 26052e-04	 13309e-06
 13169e+02	 26075e-04	 14589e-06
 87791e+01	 26114e-04	 15689e-06
 58528e+01	 26149e-04	 16519e-06
 39018e+01	 26190e-04	 17691e-06
 26012e+01	 26234e-04	 18668e-06
 17342e+01	 26293e-04	 19889e-06
 11561e+01	 26341e-04	 20109e-06
 77073e+00	 26391e-04	 20827e-06
 51382e+00	 26446e-04	 21620e-06
 34255e+00	 26504e-04	 22335e-06
 22837e+00	 26563e-04	 23022e-06
 15224e+00	 26624e-04	 23598e-06
 10150e+00	 26686e-04	 24053e-06
 67664e-01	 26750e-04	 24435e-06
 45109e-01	 26814e-04	 24699e-06
 30073e-01	 26879e-04	 24863e-06
 20049e-01	 26945e-04	 24915e-06
 13366e-01	 27010e-04	 24843e-06
 89105e-02	 27075e-04	 24678e-06
 59403e-02	 27139e-04	 24475e-06
 39602e-02	 27203e-04	 24114e-06
 26401e-02	 27265e-04	 23719e-06
 17601e-02	 27326e-04	 23214e-06
 11734e-02	 27385e-04	 22726e-06
 78226e-03	 27443e-04	 22155e-06
 52151e-03	 27499e-04	 21628e-06
 34767e-03	 27553e-04	 21072e-06
 23178e-03	 27607e-04	 20595e-06
 15452e-03	 27658e-04	 20127e-06
 10301e-03	 27708e-04	 19760e-06
 68676e-04	 27757e-04	 19522e-06
 45784e-04	 27806e-04	 19377e-06
 30523e-04	 27853e-04	 19360e-06
 20348e-04	 27900e-04	 19456e-06
 13566e-04	 27948e-04	 19717e-06
 90438e-05	 27997e-04	 20175e-06
 60292e-05	 28045e-04	 20624e-06
 40195e-05	 28097e-04	 21562e-06
 26796e-05	 28151e-04	 22567e-06
 17864e-05	 28205e-04	 23612e-06
 11909e-05	 28262e-04	 25100e-06
 79397e-06	 28326e-04	 26858e-06
 52931e-06	 28392e-04	 28801e-06
 35287e-06	 28466e-04	 30852e-06
 23525e-06	 28539e-04	 33806e-06
 15683e-06	 28619e-04	 36815e-06
 10000e-06	 28722e-04	 40437e-06
