3-flouroaniline, 100 micron spacers  Temp. [K]=2.0000e+02
Fixed value(s) :  Temp. [K] = 2.000e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 52545e-04	 19720e-04
 66667e+02	 57487e-04	 22340e-04
 44444e+02	 62294e-04	 25628e-04
 29630e+02	 68936e-04	 30364e-04
 19753e+02	 77222e-04	 35842e-04
 13169e+02	 87743e-04	 41658e-04
 87791e+01	 10083e-03	 47026e-04
 58528e+01	 11640e-03	 50190e-04
 39018e+01	 13350e-03	 50048e-04
 26012e+01	 14985e-03	 45604e-04
 17342e+01	 16319e-03	 37847e-04
 11561e+01	 17219e-03	 28872e-04
 77073e+00	 17734e-03	 20743e-04
 51382e+00	 17996e-03	 14388e-04
 34255e+00	 18122e-03	 98144e-05
 22837e+00	 18175e-03	 66600e-05
 15224e+00	 18203e-03	 45357e-05
 10150e+00	 18214e-03	 31306e-05
 67664e-01	 18217e-03	 22292e-05
 45109e-01	 18217e-03	 16854e-05
 30073e-01	 18217e-03	 14134e-05
 20049e-01	 18213e-03	 13738e-05
 13366e-01	 18213e-03	 15473e-05
 89105e-02	 18212e-03	 19745e-05
 59403e-02	 18210e-03	 27241e-05
 39602e-02	 18209e-03	 39093e-05
 26401e-02	 18208e-03	 57309e-05
 17601e-02	 18208e-03	 84901e-05
 11734e-02	 18209e-03	 12634e-04
 78226e-03	 18216e-03	 18848e-04
 52151e-03	 18220e-03	 28148e-04
 34767e-03	 18229e-03	 42068e-04
 23178e-03	 18242e-03	 62895e-04
 15452e-03	 18263e-03	 94068e-04
 10301e-03	 18293e-03	 14071e-03
 68676e-04	 18340e-03	 21053e-03
 45784e-04	 18402e-03	 31494e-03
 30523e-04	 18495e-03	 47128e-03
 20348e-04	 18652e-03	 70544e-03
 13566e-04	 18909e-03	 10558e-02
 90438e-05	 19353e-03	 15821e-02
 60292e-05	 20111e-03	 23683e-02
 40195e-05	 21488e-03	 35448e-02
 26796e-05	 24036e-03	 53065e-02
 17864e-05	 29162e-03	 79439e-02
 11909e-05	 39669e-03	 11893e-01
 79397e-06	 61151e-03	 17786e-01
 52931e-06	 10491e-02	 26585e-01
 35287e-06	 19368e-02	 39458e-01
 23525e-06	 37154e-02	 58229e-01
 15683e-06	 71760e-02	 85073e-01
 10000e-06	 14722e-01	 12834e+00
