3-flouroaniline, 100 micron spacers  Temp. [K]=1.1300e+02
Fixed value(s) :  Temp. [K] = 1.130e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26216e-04	 29063e-06
 66667e+02	 26078e-04	 13297e-06
 44444e+02	 25978e-04	 61660e-07
 29630e+02	 25919e-04	 59619e-07
 19753e+02	 25890e-04	 61806e-07
 13169e+02	 25894e-04	 67981e-07
 87791e+01	 25911e-04	 72660e-07
 58528e+01	 25924e-04	 74654e-07
 39018e+01	 25941e-04	 79132e-07
 26012e+01	 25959e-04	 85183e-07
 17342e+01	 25979e-04	 93919e-07
 11561e+01	 26011e-04	 98538e-07
 77073e+00	 26034e-04	 95782e-07
 51382e+00	 26056e-04	 99133e-07
 34255e+00	 26082e-04	 10321e-06
 22837e+00	 26108e-04	 10896e-06
 15224e+00	 26136e-04	 11392e-06
 10150e+00	 26166e-04	 11937e-06
 67664e-01	 26197e-04	 12473e-06
 45109e-01	 26231e-04	 13028e-06
 30073e-01	 26265e-04	 13522e-06
 20049e-01	 26300e-04	 13998e-06
 13366e-01	 26337e-04	 14437e-06
 89105e-02	 26375e-04	 14883e-06
 59403e-02	 26413e-04	 15274e-06
 39602e-02	 26453e-04	 15656e-06
 26401e-02	 26494e-04	 16009e-06
 17601e-02	 26536e-04	 16329e-06
 11734e-02	 26579e-04	 16635e-06
 78226e-03	 26623e-04	 16899e-06
 52151e-03	 26667e-04	 16962e-06
 34767e-03	 26711e-04	 17258e-06
 23178e-03	 26757e-04	 17407e-06
 15452e-03	 26801e-04	 17453e-06
 10301e-03	 26848e-04	 17526e-06
 68676e-04	 26892e-04	 17517e-06
 45784e-04	 26938e-04	 17418e-06
 30523e-04	 26982e-04	 17356e-06
 20348e-04	 27027e-04	 17376e-06
 13566e-04	 27072e-04	 17109e-06
 90438e-05	 27116e-04	 16900e-06
 60292e-05	 27158e-04	 16502e-06
 40195e-05	 27202e-04	 16605e-06
 26796e-05	 27243e-04	 16340e-06
 17864e-05	 27285e-04	 16007e-06
 11909e-05	 27325e-04	 15761e-06
 79397e-06	 27365e-04	 15488e-06
 52931e-06	 27405e-04	 15349e-06
 35287e-06	 27443e-04	 15235e-06
 23525e-06	 27478e-04	 15039e-06
 15683e-06	 27515e-04	 14820e-06
 10000e-06	 27558e-04	 14935e-06
