3-flouroaniline, 100 micron spacers  Temp. [K]=1.9100e+02
Fixed value(s) :  Temp. [K] = 1.910e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 41159e-04	 56578e-05
 66667e+02	 42479e-04	 58302e-05
 44444e+02	 43779e-04	 63032e-05
 29630e+02	 45250e-04	 70669e-05
 19753e+02	 46834e-04	 80835e-05
 13169e+02	 48695e-04	 92829e-05
 87791e+01	 50859e-04	 10776e-04
 58528e+01	 53315e-04	 12576e-04
 39018e+01	 56220e-04	 14826e-04
 26012e+01	 59616e-04	 17609e-04
 17342e+01	 63704e-04	 21043e-04
 11561e+01	 68708e-04	 25224e-04
 77073e+00	 74934e-04	 30210e-04
 51382e+00	 82821e-04	 35976e-04
 34255e+00	 92764e-04	 42273e-04
 22837e+00	 10520e-03	 48560e-04
 15224e+00	 12048e-03	 53953e-04
 10150e+00	 13816e-03	 57049e-04
 67664e-01	 15726e-03	 56548e-04
 45109e-01	 17564e-03	 51724e-04
 30073e-01	 19075e-03	 43285e-04
 20049e-01	 20124e-03	 33377e-04
 13366e-01	 20747e-03	 24189e-04
 89105e-02	 21074e-03	 16865e-04
 59403e-02	 21233e-03	 11538e-04
 39602e-02	 21307e-03	 78511e-05
 26401e-02	 21342e-03	 53641e-05
 17601e-02	 21358e-03	 37332e-05
 11734e-02	 21366e-03	 27029e-05
 78226e-03	 21370e-03	 21140e-05
 52151e-03	 21372e-03	 18655e-05
 34767e-03	 21374e-03	 19200e-05
 23178e-03	 21375e-03	 22906e-05
 15452e-03	 21376e-03	 30332e-05
 10301e-03	 21378e-03	 42787e-05
 68676e-04	 21381e-03	 62143e-05
 45784e-04	 21383e-03	 91815e-05
 30523e-04	 21386e-03	 13654e-04
 20348e-04	 21392e-03	 20367e-04
 13566e-04	 21399e-03	 30417e-04
 90438e-05	 21409e-03	 45478e-04
 60292e-05	 21422e-03	 67958e-04
 40195e-05	 21436e-03	 10157e-03
 26796e-05	 21460e-03	 15168e-03
 17864e-05	 21487e-03	 22690e-03
 11909e-05	 21524e-03	 33960e-03
 79397e-06	 21600e-03	 51061e-03
 52931e-06	 21729e-03	 76984e-03
 35287e-06	 21970e-03	 11622e-02
 23525e-06	 22408e-03	 17305e-02
 15683e-06	 23237e-03	 25778e-02
 10000e-06	 24756e-03	 40283e-02
