3-flouroaniline, 100 micron spacers  Temp. [K]=1.4900e+02
Fixed value(s) :  Temp. [K] = 1.490e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26437e-04	 37804e-06
 66667e+02	 26316e-04	 22332e-06
 44444e+02	 26236e-04	 16000e-06
 29630e+02	 26203e-04	 16715e-06
 19753e+02	 26201e-04	 17862e-06
 13169e+02	 26236e-04	 19397e-06
 87791e+01	 26288e-04	 20742e-06
 58528e+01	 26337e-04	 21759e-06
 39018e+01	 26394e-04	 23171e-06
 26012e+01	 26453e-04	 24236e-06
 17342e+01	 26522e-04	 25067e-06
 11561e+01	 26587e-04	 25631e-06
 77073e+00	 26653e-04	 26342e-06
 51382e+00	 26723e-04	 27035e-06
 34255e+00	 26794e-04	 27585e-06
 22837e+00	 26868e-04	 27984e-06
 15224e+00	 26942e-04	 28263e-06
 10150e+00	 27016e-04	 28385e-06
 67664e-01	 27091e-04	 28360e-06
 45109e-01	 27164e-04	 28211e-06
 30073e-01	 27238e-04	 27933e-06
 20049e-01	 27311e-04	 27558e-06
 13366e-01	 27383e-04	 27050e-06
 89105e-02	 27453e-04	 26492e-06
 59403e-02	 27521e-04	 25872e-06
 39602e-02	 27586e-04	 25226e-06
 26401e-02	 27650e-04	 24524e-06
 17601e-02	 27712e-04	 23892e-06
 11734e-02	 27772e-04	 23305e-06
 78226e-03	 27830e-04	 22757e-06
 52151e-03	 27886e-04	 22423e-06
 34767e-03	 27942e-04	 22049e-06
 23178e-03	 27995e-04	 21933e-06
 15452e-03	 28049e-04	 21956e-06
 10301e-03	 28103e-04	 22172e-06
 68676e-04	 28159e-04	 22704e-06
 45784e-04	 28213e-04	 23309e-06
 30523e-04	 28270e-04	 24168e-06
 20348e-04	 28330e-04	 25451e-06
 13566e-04	 28394e-04	 26910e-06
 90438e-05	 28460e-04	 28617e-06
 60292e-05	 28531e-04	 30548e-06
 40195e-05	 28608e-04	 33347e-06
 26796e-05	 28691e-04	 36032e-06
 17864e-05	 28779e-04	 39137e-06
 11909e-05	 28874e-04	 42756e-06
 79397e-06	 28983e-04	 47084e-06
 52931e-06	 29100e-04	 51711e-06
 35287e-06	 29232e-04	 56702e-06
 23525e-06	 29367e-04	 63082e-06
 15683e-06	 29520e-04	 69751e-06
 10000e-06	 29707e-04	 77439e-06
