3-flouroaniline, 100 micron spacers  Temp. [K]=1.3400e+02
Fixed value(s) :  Temp. [K] = 1.340e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26274e-04	 32563e-06
 66667e+02	 26144e-04	 16985e-06
 44444e+02	 26052e-04	 10239e-06
 29630e+02	 26004e-04	 10441e-06
 19753e+02	 25986e-04	 11057e-06
 13169e+02	 26003e-04	 12139e-06
 87791e+01	 26035e-04	 13075e-06
 58528e+01	 26063e-04	 13735e-06
 39018e+01	 26097e-04	 14672e-06
 26012e+01	 26134e-04	 15558e-06
 17342e+01	 26180e-04	 17267e-06
 11561e+01	 26224e-04	 17044e-06
 77073e+00	 26266e-04	 17652e-06
 51382e+00	 26311e-04	 18382e-06
 34255e+00	 26360e-04	 19166e-06
 22837e+00	 26410e-04	 19883e-06
 15224e+00	 26463e-04	 20514e-06
 10150e+00	 26517e-04	 21112e-06
 67664e-01	 26573e-04	 21657e-06
 45109e-01	 26631e-04	 22124e-06
 30073e-01	 26689e-04	 22478e-06
 20049e-01	 26748e-04	 22746e-06
 13366e-01	 26808e-04	 22954e-06
 89105e-02	 26868e-04	 23054e-06
 59403e-02	 26929e-04	 22999e-06
 39602e-02	 26989e-04	 22938e-06
 26401e-02	 27049e-04	 22770e-06
 17601e-02	 27108e-04	 22517e-06
 11734e-02	 27166e-04	 22178e-06
 78226e-03	 27223e-04	 21773e-06
 52151e-03	 27278e-04	 21328e-06
 34767e-03	 27334e-04	 20948e-06
 23178e-03	 27387e-04	 20522e-06
 15452e-03	 27439e-04	 20035e-06
 10301e-03	 27489e-04	 19590e-06
 68676e-04	 27539e-04	 19164e-06
 45784e-04	 27586e-04	 18725e-06
 30523e-04	 27633e-04	 18416e-06
 20348e-04	 27678e-04	 18251e-06
 13566e-04	 27723e-04	 18082e-06
 90438e-05	 27767e-04	 18082e-06
 60292e-05	 27812e-04	 17947e-06
 40195e-05	 27857e-04	 18283e-06
 26796e-05	 27901e-04	 18681e-06
 17864e-05	 27947e-04	 18933e-06
 11909e-05	 27992e-04	 19554e-06
 79397e-06	 28040e-04	 20392e-06
 52931e-06	 28092e-04	 21377e-06
 35287e-06	 28146e-04	 22455e-06
 23525e-06	 28196e-04	 24055e-06
 15683e-06	 28256e-04	 25676e-06
 10000e-06	 28328e-04	 27710e-06
