3-flouroaniline, 100 micron spacers  Temp. [K]=1.2500e+02
Fixed value(s) :  Temp. [K] = 1.250e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26229e-04	 30712e-06
 66667e+02	 26096e-04	 14934e-06
 44444e+02	 26000e-04	 80831e-07
 29630e+02	 25946e-04	 81049e-07
 19753e+02	 25922e-04	 84913e-07
 13169e+02	 25932e-04	 93347e-07
 87791e+01	 25956e-04	 10051e-06
 58528e+01	 25976e-04	 10477e-06
 39018e+01	 26002e-04	 11198e-06
 26012e+01	 26028e-04	 12001e-06
 17342e+01	 26059e-04	 13646e-06
 11561e+01	 26101e-04	 13386e-06
 77073e+00	 26132e-04	 13570e-06
 51382e+00	 26165e-04	 14199e-06
 34255e+00	 26203e-04	 14898e-06
 22837e+00	 26242e-04	 15573e-06
 15224e+00	 26283e-04	 16246e-06
 10150e+00	 26325e-04	 16884e-06
 67664e-01	 26370e-04	 17490e-06
 45109e-01	 26417e-04	 18084e-06
 30073e-01	 26464e-04	 18586e-06
 20049e-01	 26513e-04	 19043e-06
 13366e-01	 26563e-04	 19473e-06
 89105e-02	 26615e-04	 19811e-06
 59403e-02	 26666e-04	 20080e-06
 39602e-02	 26719e-04	 20312e-06
 26401e-02	 26773e-04	 20481e-06
 17601e-02	 26826e-04	 20545e-06
 11734e-02	 26880e-04	 20528e-06
 78226e-03	 26934e-04	 20494e-06
 52151e-03	 26988e-04	 20465e-06
 34767e-03	 27039e-04	 20171e-06
 23178e-03	 27091e-04	 19938e-06
 15452e-03	 27142e-04	 19708e-06
 10301e-03	 27193e-04	 19341e-06
 68676e-04	 27242e-04	 19067e-06
 45784e-04	 27291e-04	 18650e-06
 30523e-04	 27338e-04	 18242e-06
 20348e-04	 27384e-04	 17947e-06
 13566e-04	 27429e-04	 17718e-06
 90438e-05	 27473e-04	 17316e-06
 60292e-05	 27517e-04	 16932e-06
 40195e-05	 27558e-04	 16631e-06
 26796e-05	 27600e-04	 16322e-06
 17864e-05	 27642e-04	 16341e-06
 11909e-05	 27680e-04	 16323e-06
 79397e-06	 27720e-04	 16530e-06
 52931e-06	 27762e-04	 16400e-06
 35287e-06	 27804e-04	 16880e-06
 23525e-06	 27842e-04	 17092e-06
 15683e-06	 27882e-04	 17904e-06
 10000e-06	 27932e-04	 18245e-06
