3-flouroaniline, 100 micron spacers  Temp. [K]=1.6400e+02
Fixed value(s) :  Temp. [K] = 1.640e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26868e-04	 48581e-06
 66667e+02	 26764e-04	 32939e-06
 44444e+02	 26704e-04	 26980e-06
 29630e+02	 26700e-04	 28393e-06
 19753e+02	 26728e-04	 30077e-06
 13169e+02	 26796e-04	 32063e-06
 87791e+01	 26883e-04	 33734e-06
 58528e+01	 26969e-04	 34950e-06
 39018e+01	 27061e-04	 36396e-06
 26012e+01	 27157e-04	 37500e-06
 17342e+01	 27258e-04	 37383e-06
 11561e+01	 27356e-04	 37754e-06
 77073e+00	 27456e-04	 37902e-06
 51382e+00	 27556e-04	 37820e-06
 34255e+00	 27653e-04	 37521e-06
 22837e+00	 27752e-04	 37016e-06
 15224e+00	 27849e-04	 36334e-06
 10150e+00	 27944e-04	 35510e-06
 67664e-01	 28034e-04	 34593e-06
 45109e-01	 28119e-04	 33615e-06
 30073e-01	 28205e-04	 32619e-06
 20049e-01	 28289e-04	 31670e-06
 13366e-01	 28369e-04	 30856e-06
 89105e-02	 28445e-04	 30153e-06
 59403e-02	 28519e-04	 29696e-06
 39602e-02	 28592e-04	 29393e-06
 26401e-02	 28663e-04	 29419e-06
 17601e-02	 28735e-04	 29764e-06
 11734e-02	 28808e-04	 30427e-06
 78226e-03	 28883e-04	 31470e-06
 52151e-03	 28959e-04	 32815e-06
 34767e-03	 29041e-04	 34838e-06
 23178e-03	 29127e-04	 37259e-06
 15452e-03	 29219e-04	 40145e-06
 10301e-03	 29319e-04	 43548e-06
 68676e-04	 29428e-04	 47626e-06
 45784e-04	 29548e-04	 52227e-06
 30523e-04	 29676e-04	 57653e-06
 20348e-04	 29826e-04	 63793e-06
 13566e-04	 29980e-04	 70705e-06
 90438e-05	 30159e-04	 79220e-06
 60292e-05	 30360e-04	 86934e-06
 40195e-05	 30581e-04	 97759e-06
 26796e-05	 30827e-04	 10891e-05
 17864e-05	 31117e-04	 12095e-05
 11909e-05	 31405e-04	 13408e-05
 79397e-06	 31742e-04	 14925e-05
 52931e-06	 32117e-04	 16535e-05
 35287e-06	 32522e-04	 18436e-05
 23525e-06	 32956e-04	 20457e-05
 15683e-06	 33441e-04	 22583e-05
 10000e-06	 33957e-04	 25192e-05
