3-flouroaniline, 100 micron spacers  Temp. [K]=1.9700e+02
Fixed value(s) :  Temp. [K] = 1.970e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 48609e-04	 13505e-04
 66667e+02	 51464e-04	 14988e-04
 44444e+02	 54917e-04	 17229e-04
 29630e+02	 58862e-04	 20352e-04
 19753e+02	 63524e-04	 24151e-04
 13169e+02	 69520e-04	 29007e-04
 87791e+01	 77035e-04	 34802e-04
 58528e+01	 86635e-04	 41021e-04
 39018e+01	 98721e-04	 47241e-04
 26012e+01	 11370e-03	 52571e-04
 17342e+01	 13122e-03	 55548e-04
 11561e+01	 14989e-03	 54652e-04
 77073e+00	 16760e-03	 49346e-04
 51382e+00	 18174e-03	 40674e-04
 34255e+00	 19119e-03	 30882e-04
 22837e+00	 19659e-03	 22136e-04
 15224e+00	 19934e-03	 15340e-04
 10150e+00	 20065e-03	 10461e-04
 67664e-01	 20126e-03	 71005e-05
 45109e-01	 20154e-03	 48429e-05
 30073e-01	 20166e-03	 33582e-05
 20049e-01	 20171e-03	 24137e-05
 13366e-01	 20173e-03	 18579e-05
 89105e-02	 20173e-03	 16029e-05
 59403e-02	 20173e-03	 16079e-05
 39602e-02	 20173e-03	 18744e-05
 26401e-02	 20172e-03	 24422e-05
 17601e-02	 20172e-03	 34083e-05
 11734e-02	 20172e-03	 49300e-05
 78226e-03	 20173e-03	 72575e-05
 52151e-03	 20174e-03	 10768e-04
 34767e-03	 20177e-03	 16044e-04
 23178e-03	 20182e-03	 23952e-04
 15452e-03	 20189e-03	 35788e-04
 10301e-03	 20198e-03	 53498e-04
 68676e-04	 20211e-03	 80015e-04
 45784e-04	 20230e-03	 11968e-03
 30523e-04	 20258e-03	 17906e-03
 20348e-04	 20294e-03	 26794e-03
 13566e-04	 20354e-03	 40112e-03
 90438e-05	 20451e-03	 60053e-03
 60292e-05	 20632e-03	 89902e-03
 40195e-05	 20929e-03	 13466e-02
 26796e-05	 21509e-03	 20147e-02
 17864e-05	 22515e-03	 30138e-02
 11909e-05	 24361e-03	 45113e-02
 79397e-06	 27895e-03	 67556e-02
 52931e-06	 35037e-03	 10119e-01
 35287e-06	 49781e-03	 15129e-01
 23525e-06	 80816e-03	 22468e-01
 15683e-06	 14219e-02	 33066e-01
 10000e-06	 28312e-02	 50596e-01
