3-flouroaniline, 100 micron spacers  Temp. [K]=2.1800e+02
Fixed value(s) :  Temp. [K] = 2.180e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 20568e-03	 13884e-03
 66667e+02	 19864e-03	 80816e-04
 44444e+02	 17913e-03	 17006e-04
 29630e+02	 18110e-03	 10873e-04
 19753e+02	 18172e-03	 70269e-05
 13169e+02	 18205e-03	 47356e-05
 87791e+01	 18216e-03	 32793e-05
 58528e+01	 18223e-03	 22813e-05
 39018e+01	 18227e-03	 16635e-05
 26012e+01	 18230e-03	 13313e-05
 17342e+01	 18232e-03	 11963e-05
 11561e+01	 18233e-03	 12592e-05
 77073e+00	 18234e-03	 15244e-05
 51382e+00	 18235e-03	 20368e-05
 34255e+00	 18237e-03	 28816e-05
 22837e+00	 18236e-03	 41977e-05
 15224e+00	 18241e-03	 62004e-05
 10150e+00	 18244e-03	 92222e-05
 67664e-01	 18253e-03	 13767e-04
 45109e-01	 18258e-03	 20568e-04
 30073e-01	 18264e-03	 30759e-04
 20049e-01	 18274e-03	 46028e-04
 13366e-01	 18282e-03	 68882e-04
 89105e-02	 18295e-03	 10314e-03
 59403e-02	 18309e-03	 15448e-03
 39602e-02	 18331e-03	 23148e-03
 26401e-02	 18356e-03	 34690e-03
 17601e-02	 18402e-03	 51994e-03
 11734e-02	 18486e-03	 77962e-03
 78226e-03	 18645e-03	 11687e-02
 52151e-03	 18923e-03	 17512e-02
 34767e-03	 19520e-03	 26251e-02
 23178e-03	 20734e-03	 39348e-02
 15452e-03	 23220e-03	 58968e-02
 10301e-03	 28295e-03	 88348e-02
 68676e-04	 38764e-03	 13231e-01
 45784e-04	 60297e-03	 19806e-01
 30523e-04	 10426e-02	 29611e-01
 20348e-04	 19348e-02	 44252e-01
 13566e-04	 37380e-02	 65935e-01
 90438e-05	 73135e-02	 98092e-01
 60292e-05	 14223e-01	 14506e+00
 40195e-05	 26456e-01	 21338e+00
 26796e-05	 47753e-01	 31200e+00
 17864e-05	 82157e-01	 45076e+00
 11909e-05	 13539e+00	 64773e+00
 79397e-06	 21624e+00	 92554e+00
 52931e-06	 33754e+00	 13118e+01
 35287e-06	 51495e+00	 18335e+01
 23525e-06	 76160e+00	 25152e+01
 15683e-06	 10879e+01	 33864e+01
 10000e-06	 15595e+01	 46942e+01
