3-flouroaniline, 100 micron spacers  Temp. [K]=1.7000e+02
Fixed value(s) :  Temp. [K] = 1.700e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 27430e-04	 58447e-06
 66667e+02	 27336e-04	 41946e-06
 44444e+02	 27291e-04	 36078e-06
 29630e+02	 27311e-04	 37765e-06
 19753e+02	 27361e-04	 39785e-06
 13169e+02	 27455e-04	 41859e-06
 87791e+01	 27570e-04	 43727e-06
 58528e+01	 27684e-04	 44917e-06
 39018e+01	 27801e-04	 46042e-06
 26012e+01	 27926e-04	 46657e-06
 17342e+01	 28051e-04	 46654e-06
 11561e+01	 28175e-04	 46642e-06
 77073e+00	 28299e-04	 46324e-06
 51382e+00	 28421e-04	 45766e-06
 34255e+00	 28537e-04	 44976e-06
 22837e+00	 28656e-04	 44015e-06
 15224e+00	 28771e-04	 42916e-06
 10150e+00	 28881e-04	 41762e-06
 67664e-01	 28987e-04	 40632e-06
 45109e-01	 29089e-04	 39620e-06
 30073e-01	 29187e-04	 38781e-06
 20049e-01	 29284e-04	 38174e-06
 13366e-01	 29378e-04	 37896e-06
 89105e-02	 29470e-04	 38009e-06
 59403e-02	 29563e-04	 38583e-06
 39602e-02	 29658e-04	 39669e-06
 26401e-02	 29755e-04	 41289e-06
 17601e-02	 29856e-04	 43503e-06
 11734e-02	 29963e-04	 46382e-06
 78226e-03	 30078e-04	 49948e-06
 52151e-03	 30202e-04	 54347e-06
 34767e-03	 30337e-04	 59535e-06
 23178e-03	 30486e-04	 65685e-06
 15452e-03	 30651e-04	 72886e-06
 10301e-03	 30833e-04	 81229e-06
 68676e-04	 31044e-04	 90999e-06
 45784e-04	 31271e-04	 10199e-05
 30523e-04	 31527e-04	 11480e-05
 20348e-04	 31816e-04	 12929e-05
 13566e-04	 32140e-04	 14557e-05
 90438e-05	 32502e-04	 16574e-05
 60292e-05	 32903e-04	 18495e-05
 40195e-05	 33382e-04	 21070e-05
 26796e-05	 33908e-04	 23890e-05
 17864e-05	 34523e-04	 27215e-05
 11909e-05	 35167e-04	 30792e-05
 79397e-06	 35930e-04	 35152e-05
 52931e-06	 36806e-04	 40081e-05
 35287e-06	 37806e-04	 46198e-05
 23525e-06	 38950e-04	 52752e-05
 15683e-06	 40201e-04	 60566e-05
 10000e-06	 41714e-04	 69712e-05
