3-flouroaniline, 100 micron spacers  Temp. [K]=1.1600e+02
Fixed value(s) :  Temp. [K] = 1.160e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26217e-04	 29482e-06
 66667e+02	 26080e-04	 13659e-06
 44444e+02	 25981e-04	 66036e-07
 29630e+02	 25923e-04	 64284e-07
 19753e+02	 25895e-04	 66544e-07
 13169e+02	 25900e-04	 73173e-07
 87791e+01	 25919e-04	 78668e-07
 58528e+01	 25933e-04	 80928e-07
 39018e+01	 25952e-04	 86215e-07
 26012e+01	 25973e-04	 92028e-07
 17342e+01	 25993e-04	 10264e-06
 11561e+01	 26028e-04	 10632e-06
 77073e+00	 26053e-04	 10454e-06
 51382e+00	 26078e-04	 10853e-06
 34255e+00	 26106e-04	 11370e-06
 22837e+00	 26135e-04	 11926e-06
 15224e+00	 26166e-04	 12505e-06
 10150e+00	 26199e-04	 13104e-06
 67664e-01	 26234e-04	 13687e-06
 45109e-01	 26270e-04	 14222e-06
 30073e-01	 26307e-04	 14766e-06
 20049e-01	 26346e-04	 15250e-06
 13366e-01	 26386e-04	 15698e-06
 89105e-02	 26427e-04	 16099e-06
 59403e-02	 26469e-04	 16524e-06
 39602e-02	 26512e-04	 16902e-06
 26401e-02	 26557e-04	 17224e-06
 17601e-02	 26602e-04	 17488e-06
 11734e-02	 26648e-04	 17745e-06
 78226e-03	 26695e-04	 17997e-06
 52151e-03	 26743e-04	 18082e-06
 34767e-03	 26788e-04	 18205e-06
 23178e-03	 26836e-04	 18210e-06
 15452e-03	 26882e-04	 18222e-06
 10301e-03	 26930e-04	 18181e-06
 68676e-04	 26977e-04	 18156e-06
 45784e-04	 27024e-04	 17994e-06
 30523e-04	 27070e-04	 17861e-06
 20348e-04	 27116e-04	 17529e-06
 13566e-04	 27161e-04	 17373e-06
 90438e-05	 27205e-04	 17172e-06
 60292e-05	 27249e-04	 16844e-06
 40195e-05	 27291e-04	 16620e-06
 26796e-05	 27335e-04	 16433e-06
 17864e-05	 27374e-04	 16157e-06
 11909e-05	 27414e-04	 15917e-06
 79397e-06	 27452e-04	 15803e-06
 52931e-06	 27491e-04	 15131e-06
 35287e-06	 27531e-04	 15111e-06
 23525e-06	 27567e-04	 15141e-06
 15683e-06	 27603e-04	 14867e-06
 10000e-06	 27645e-04	 14906e-06
