3-flouroaniline, 100 micron spacers  Temp. [K]=1.6100e+02
Fixed value(s) :  Temp. [K] = 1.610e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26731e-04	 45446e-06
 66667e+02	 26624e-04	 30033e-06
 44444e+02	 26559e-04	 24085e-06
 29630e+02	 26547e-04	 25324e-06
 19753e+02	 26567e-04	 26905e-06
 13169e+02	 26627e-04	 28770e-06
 87791e+01	 26705e-04	 30461e-06
 58528e+01	 26782e-04	 31608e-06
 39018e+01	 26865e-04	 32963e-06
 26012e+01	 26953e-04	 34013e-06
 17342e+01	 27046e-04	 34435e-06
 11561e+01	 27136e-04	 34920e-06
 77073e+00	 27227e-04	 35207e-06
 51382e+00	 27320e-04	 35334e-06
 34255e+00	 27412e-04	 35246e-06
 22837e+00	 27506e-04	 35018e-06
 15224e+00	 27598e-04	 34536e-06
 10150e+00	 27688e-04	 33916e-06
 67664e-01	 27775e-04	 33164e-06
 45109e-01	 27858e-04	 32314e-06
 30073e-01	 27941e-04	 31429e-06
 20049e-01	 28021e-04	 30544e-06
 13366e-01	 28099e-04	 29682e-06
 89105e-02	 28173e-04	 28902e-06
 59403e-02	 28245e-04	 28209e-06
 39602e-02	 28314e-04	 27711e-06
 26401e-02	 28382e-04	 27425e-06
 17601e-02	 28449e-04	 27330e-06
 11734e-02	 28516e-04	 27483e-06
 78226e-03	 28583e-04	 28038e-06
 52151e-03	 28651e-04	 28815e-06
 34767e-03	 28722e-04	 29968e-06
 23178e-03	 28796e-04	 31535e-06
 15452e-03	 28874e-04	 33483e-06
 10301e-03	 28956e-04	 35921e-06
 68676e-04	 29046e-04	 38828e-06
 45784e-04	 29143e-04	 42169e-06
 30523e-04	 29249e-04	 46169e-06
 20348e-04	 29365e-04	 50608e-06
 13566e-04	 29491e-04	 56132e-06
 90438e-05	 29630e-04	 61836e-06
 60292e-05	 29786e-04	 68501e-06
 40195e-05	 29959e-04	 75946e-06
 26796e-05	 30150e-04	 84270e-06
 17864e-05	 30368e-04	 94417e-06
 11909e-05	 30598e-04	 10406e-05
 79397e-06	 30857e-04	 11686e-05
 52931e-06	 31151e-04	 12926e-05
 35287e-06	 31487e-04	 14219e-05
 23525e-06	 31815e-04	 15720e-05
 15683e-06	 32190e-04	 17369e-05
 10000e-06	 32590e-04	 19203e-05
