3-flouroaniline, 100 micron spacers  Temp. [K]=1.8500e+02
Fixed value(s) :  Temp. [K] = 1.850e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 36996e-04	 27154e-05
 66667e+02	 37369e-04	 26345e-05
 44444e+02	 38038e-04	 26828e-05
 29630e+02	 38730e-04	 28302e-05
 19753e+02	 39342e-04	 30705e-05
 13169e+02	 40170e-04	 33219e-05
 87791e+01	 41024e-04	 35935e-05
 58528e+01	 41921e-04	 38812e-05
 39018e+01	 42883e-04	 42132e-05
 26012e+01	 43911e-04	 46054e-05
 17342e+01	 45013e-04	 50819e-05
 11561e+01	 46208e-04	 56694e-05
 77073e+00	 47519e-04	 64081e-05
 51382e+00	 48937e-04	 73358e-05
 34255e+00	 50587e-04	 85197e-05
 22837e+00	 52488e-04	 10017e-04
 15224e+00	 54722e-04	 11904e-04
 10150e+00	 57426e-04	 14276e-04
 67664e-01	 60663e-04	 17209e-04
 45109e-01	 64626e-04	 20792e-04
 30073e-01	 69574e-04	 25146e-04
 20049e-01	 75801e-04	 30299e-04
 13366e-01	 83719e-04	 36236e-04
 89105e-02	 93697e-04	 42704e-04
 59403e-02	 10616e-03	 49219e-04
 39602e-02	 12146e-03	 54965e-04
 26401e-02	 13925e-03	 58623e-04
 17601e-02	 15877e-03	 58925e-04
 11734e-02	 17804e-03	 54944e-04
 78226e-03	 19454e-03	 47019e-04
 52151e-03	 20657e-03	 37023e-04
 34767e-03	 21403e-03	 27237e-04
 23178e-03	 21806e-03	 19173e-04
 15452e-03	 22006e-03	 13181e-04
 10301e-03	 22101e-03	 89953e-05
 68676e-04	 22145e-03	 61451e-05
 45784e-04	 22166e-03	 42948e-05
 30523e-04	 22176e-03	 31322e-05
 20348e-04	 22182e-03	 24751e-05
 13566e-04	 22185e-03	 22137e-05
 90438e-05	 22187e-03	 23150e-05
 60292e-05	 22188e-03	 28048e-05
 40195e-05	 22190e-03	 37291e-05
 26796e-05	 22194e-03	 52813e-05
 17864e-05	 22196e-03	 77042e-05
 11909e-05	 22200e-03	 11446e-04
 79397e-06	 22204e-03	 17110e-04
 52931e-06	 22213e-03	 25559e-04
 35287e-06	 22225e-03	 37981e-04
 23525e-06	 22238e-03	 56864e-04
 15683e-06	 22257e-03	 84861e-04
 10000e-06	 22278e-03	 13211e-03
