3-flouroaniline, 100 micron spacers  Temp. [K]=1.8200e+02
Fixed value(s) :  Temp. [K] = 1.820e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 35351e-04	 19577e-05
 66667e+02	 35753e-04	 18048e-05
 44444e+02	 36113e-04	 18007e-05
 29630e+02	 36551e-04	 18889e-05
 19753e+02	 36978e-04	 20328e-05
 13169e+02	 37507e-04	 21564e-05
 87791e+01	 38086e-04	 22822e-05
 58528e+01	 38675e-04	 23988e-05
 39018e+01	 39292e-04	 25230e-05
 26012e+01	 39935e-04	 26505e-05
 17342e+01	 40641e-04	 27957e-05
 11561e+01	 41334e-04	 29657e-05
 77073e+00	 42058e-04	 31722e-05
 51382e+00	 42818e-04	 34307e-05
 34255e+00	 43626e-04	 37608e-05
 22837e+00	 44498e-04	 41840e-05
 15224e+00	 45453e-04	 47268e-05
 10150e+00	 46523e-04	 54209e-05
 67664e-01	 47737e-04	 63024e-05
 45109e-01	 49108e-04	 74118e-05
 30073e-01	 50758e-04	 88108e-05
 20049e-01	 52723e-04	 10559e-04
 13366e-01	 55091e-04	 12729e-04
 89105e-02	 58012e-04	 15420e-04
 59403e-02	 61562e-04	 18709e-04
 39602e-02	 65956e-04	 22693e-04
 26401e-02	 71469e-04	 27449e-04
 17601e-02	 78426e-04	 33002e-04
 11734e-02	 87255e-04	 39262e-04
 78226e-03	 98302e-04	 45878e-04
 52151e-03	 11209e-03	 52292e-04
 34767e-03	 12864e-03	 57441e-04
 23178e-03	 14743e-03	 59974e-04
 15452e-03	 16735e-03	 58700e-04
 10301e-03	 18610e-03	 53087e-04
 68676e-04	 20129e-03	 44042e-04
 45784e-04	 21173e-03	 33790e-04
 30523e-04	 21788e-03	 24434e-04
 20348e-04	 22113e-03	 17072e-04
 13566e-04	 22272e-03	 11711e-04
 90438e-05	 22346e-03	 80024e-05
 60292e-05	 22384e-03	 55365e-05
 40195e-05	 22404e-03	 39616e-05
 26796e-05	 22416e-03	 30231e-05
 17864e-05	 22427e-03	 25701e-05
 11909e-05	 22440e-03	 25527e-05
 79397e-06	 22453e-03	 29468e-05
 52931e-06	 22473e-03	 38504e-05
 35287e-06	 22500e-03	 53509e-05
 23525e-06	 22526e-03	 76940e-05
 15683e-06	 22554e-03	 11264e-04
 10000e-06	 22589e-03	 17399e-04
