3-flouroaniline, 100 micron spacers  Temp. [K]=1.5800e+02
Fixed value(s) :  Temp. [K] = 1.580e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26633e-04	 43087e-06
 66667e+02	 26520e-04	 27663e-06
 44444e+02	 26451e-04	 21654e-06
 29630e+02	 26432e-04	 22733e-06
 19753e+02	 26446e-04	 24208e-06
 13169e+02	 26498e-04	 25998e-06
 87791e+01	 26569e-04	 27608e-06
 58528e+01	 26637e-04	 28781e-06
 39018e+01	 26712e-04	 30147e-06
 26012e+01	 26791e-04	 31529e-06
 17342e+01	 26880e-04	 31933e-06
 11561e+01	 26961e-04	 32347e-06
 77073e+00	 27046e-04	 32764e-06
 51382e+00	 27133e-04	 33070e-06
 34255e+00	 27219e-04	 33228e-06
 22837e+00	 27307e-04	 33148e-06
 15224e+00	 27395e-04	 32882e-06
 10150e+00	 27481e-04	 32485e-06
 67664e-01	 27565e-04	 31947e-06
 45109e-01	 27645e-04	 31248e-06
 30073e-01	 27726e-04	 30490e-06
 20049e-01	 27805e-04	 29688e-06
 13366e-01	 27881e-04	 28859e-06
 89105e-02	 27954e-04	 28067e-06
 59403e-02	 28024e-04	 27299e-06
 39602e-02	 28091e-04	 26647e-06
 26401e-02	 28157e-04	 26142e-06
 17601e-02	 28222e-04	 25820e-06
 11734e-02	 28285e-04	 25617e-06
 78226e-03	 28348e-04	 25726e-06
 52151e-03	 28410e-04	 26197e-06
 34767e-03	 28474e-04	 26703e-06
 23178e-03	 28539e-04	 27673e-06
 15452e-03	 28608e-04	 28965e-06
 10301e-03	 28679e-04	 30609e-06
 68676e-04	 28755e-04	 32569e-06
 45784e-04	 28836e-04	 34952e-06
 30523e-04	 28923e-04	 37871e-06
 20348e-04	 29020e-04	 41117e-06
 13566e-04	 29120e-04	 45284e-06
 90438e-05	 29230e-04	 49631e-06
 60292e-05	 29357e-04	 54815e-06
 40195e-05	 29492e-04	 60835e-06
 26796e-05	 29649e-04	 67088e-06
 17864e-05	 29821e-04	 74102e-06
 11909e-05	 29998e-04	 81964e-06
 79397e-06	 30207e-04	 91674e-06
 52931e-06	 30433e-04	 10123e-05
 35287e-06	 30693e-04	 11186e-05
 23525e-06	 30965e-04	 12435e-05
 15683e-06	 31252e-04	 13661e-05
 10000e-06	 31610e-04	 15198e-05
