3-flouroaniline, 100 micron spacers  Temp. [K]=1.3100e+02
Fixed value(s) :  Temp. [K] = 1.310e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26257e-04	 31907e-06
 66667e+02	 26124e-04	 16183e-06
 44444e+02	 26031e-04	 94071e-07
 29630e+02	 25980e-04	 95711e-07
 19753e+02	 25960e-04	 10101e-06
 13169e+02	 25975e-04	 11103e-06
 87791e+01	 26004e-04	 11979e-06
 58528e+01	 26029e-04	 12529e-06
 39018e+01	 26060e-04	 13401e-06
 26012e+01	 26094e-04	 14291e-06
 17342e+01	 26134e-04	 16022e-06
 11561e+01	 26177e-04	 15671e-06
 77073e+00	 26214e-04	 16170e-06
 51382e+00	 26256e-04	 16913e-06
 34255e+00	 26301e-04	 17663e-06
 22837e+00	 26347e-04	 18364e-06
 15224e+00	 26395e-04	 19036e-06
 10150e+00	 26445e-04	 19679e-06
 67664e-01	 26497e-04	 20222e-06
 45109e-01	 26551e-04	 20772e-06
 30073e-01	 26606e-04	 21180e-06
 20049e-01	 26662e-04	 21560e-06
 13366e-01	 26719e-04	 21862e-06
 89105e-02	 26776e-04	 22040e-06
 59403e-02	 26834e-04	 22124e-06
 39602e-02	 26892e-04	 22169e-06
 26401e-02	 26950e-04	 22124e-06
 17601e-02	 27008e-04	 22001e-06
 11734e-02	 27065e-04	 21768e-06
 78226e-03	 27121e-04	 21489e-06
 52151e-03	 27179e-04	 21204e-06
 34767e-03	 27231e-04	 20801e-06
 23178e-03	 27284e-04	 20422e-06
 15452e-03	 27336e-04	 20018e-06
 10301e-03	 27387e-04	 19533e-06
 68676e-04	 27436e-04	 19121e-06
 45784e-04	 27484e-04	 18691e-06
 30523e-04	 27531e-04	 18342e-06
 20348e-04	 27575e-04	 18110e-06
 13566e-04	 27620e-04	 17796e-06
 90438e-05	 27664e-04	 17512e-06
 60292e-05	 27708e-04	 17373e-06
 40195e-05	 27752e-04	 17491e-06
 26796e-05	 27793e-04	 17342e-06
 17864e-05	 27837e-04	 17615e-06
 11909e-05	 27880e-04	 18021e-06
 79397e-06	 27924e-04	 18576e-06
 52931e-06	 27969e-04	 19074e-06
 35287e-06	 28021e-04	 19874e-06
 23525e-06	 28063e-04	 20776e-06
 15683e-06	 28112e-04	 22331e-06
 10000e-06	 28176e-04	 23615e-06
