3-flouroaniline, 100 micron spacers  Temp. [K]=1.9400e+02
Fixed value(s) :  Temp. [K] = 1.940e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 44644e-04	 87516e-05
 66667e+02	 46392e-04	 93804e-05
 44444e+02	 48474e-04	 10472e-04
 29630e+02	 50781e-04	 12040e-04
 19753e+02	 53384e-04	 14002e-04
 13169e+02	 56609e-04	 16720e-04
 87791e+01	 60490e-04	 19969e-04
 58528e+01	 65193e-04	 23873e-04
 39018e+01	 70998e-04	 28563e-04
 26012e+01	 78292e-04	 34065e-04
 17342e+01	 87553e-04	 40230e-04
 11561e+01	 99168e-04	 46583e-04
 77073e+00	 11363e-03	 52350e-04
 51382e+00	 13076e-03	 56204e-04
 34255e+00	 14953e-03	 56645e-04
 22837e+00	 16821e-03	 52761e-04
 15224e+00	 18416e-03	 44928e-04
 10150e+00	 19554e-03	 35113e-04
 67664e-01	 20245e-03	 25666e-04
 45109e-01	 20612e-03	 17983e-04
 30073e-01	 20792e-03	 12326e-04
 20049e-01	 20875e-03	 83811e-05
 13366e-01	 20917e-03	 57145e-05
 89105e-02	 20936e-03	 39406e-05
 59403e-02	 20945e-03	 28047e-05
 39602e-02	 20949e-03	 21192e-05
 26401e-02	 20952e-03	 17798e-05
 17601e-02	 20954e-03	 17285e-05
 11734e-02	 20955e-03	 19534e-05
 78226e-03	 20956e-03	 25044e-05
 52151e-03	 20957e-03	 34521e-05
 34767e-03	 20960e-03	 49741e-05
 23178e-03	 20961e-03	 73081e-05
 15452e-03	 20965e-03	 10839e-04
 10301e-03	 20970e-03	 16149e-04
 68676e-04	 20975e-03	 24115e-04
 45784e-04	 20983e-03	 36029e-04
 30523e-04	 20994e-03	 53870e-04
 20348e-04	 21007e-03	 80598e-04
 13566e-04	 21024e-03	 12064e-03
 90438e-05	 21050e-03	 18069e-03
 60292e-05	 21077e-03	 27068e-03
 40195e-05	 21134e-03	 40575e-03
 26796e-05	 21221e-03	 60795e-03
 17864e-05	 21389e-03	 91065e-03
 11909e-05	 21699e-03	 13653e-02
 79397e-06	 22286e-03	 20442e-02
 52931e-06	 23274e-03	 30675e-02
 35287e-06	 25237e-03	 46081e-02
 23525e-06	 28807e-03	 68976e-02
 15683e-06	 36249e-03	 10304e-01
 10000e-06	 53340e-03	 15975e-01
