3-flouroaniline, 100 micron spacers  Temp. [K]=1.4600e+02
Fixed value(s) :  Temp. [K] = 1.460e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26393e-04	 36471e-06
 66667e+02	 26271e-04	 20974e-06
 44444e+02	 26186e-04	 14565e-06
 29630e+02	 26149e-04	 15157e-06
 19753e+02	 26144e-04	 16158e-06
 13169e+02	 26174e-04	 17608e-06
 87791e+01	 26221e-04	 18892e-06
 58528e+01	 26265e-04	 19869e-06
 39018e+01	 26316e-04	 21133e-06
 26012e+01	 26371e-04	 22364e-06
 17342e+01	 26436e-04	 23170e-06
 11561e+01	 26495e-04	 23681e-06
 77073e+00	 26555e-04	 24407e-06
 51382e+00	 26619e-04	 25174e-06
 34255e+00	 26686e-04	 25781e-06
 22837e+00	 26755e-04	 26310e-06
 15224e+00	 26824e-04	 26719e-06
 10150e+00	 26895e-04	 26950e-06
 67664e-01	 26966e-04	 27092e-06
 45109e-01	 27036e-04	 27083e-06
 30073e-01	 27107e-04	 26969e-06
 20049e-01	 27178e-04	 26755e-06
 13366e-01	 27248e-04	 26397e-06
 89105e-02	 27317e-04	 25982e-06
 59403e-02	 27383e-04	 25478e-06
 39602e-02	 27449e-04	 24890e-06
 26401e-02	 27512e-04	 24278e-06
 17601e-02	 27574e-04	 23679e-06
 11734e-02	 27633e-04	 23041e-06
 78226e-03	 27691e-04	 22477e-06
 52151e-03	 27748e-04	 21939e-06
 34767e-03	 27802e-04	 21518e-06
 23178e-03	 27855e-04	 21213e-06
 15452e-03	 27907e-04	 20989e-06
 10301e-03	 27959e-04	 20990e-06
 68676e-04	 28010e-04	 21066e-06
 45784e-04	 28063e-04	 21343e-06
 30523e-04	 28115e-04	 21874e-06
 20348e-04	 28170e-04	 22826e-06
 13566e-04	 28227e-04	 23446e-06
 90438e-05	 28283e-04	 24817e-06
 60292e-05	 28345e-04	 26194e-06
 40195e-05	 28407e-04	 28244e-06
 26796e-05	 28481e-04	 30299e-06
 17864e-05	 28555e-04	 32731e-06
 11909e-05	 28635e-04	 35289e-06
 79397e-06	 28722e-04	 38558e-06
 52931e-06	 28816e-04	 42192e-06
 35287e-06	 28923e-04	 45789e-06
 23525e-06	 29033e-04	 50757e-06
 15683e-06	 29151e-04	 55884e-06
 10000e-06	 29301e-04	 62201e-06
