3-flouroaniline, 100 micron spacers  Temp. [K]=1.7300e+02
Fixed value(s) :  Temp. [K] = 1.730e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 28718e-04	 74162e-06
 66667e+02	 28624e-04	 55386e-06
 44444e+02	 28593e-04	 49649e-06
 29630e+02	 28651e-04	 51996e-06
 19753e+02	 28739e-04	 54759e-06
 13169e+02	 28876e-04	 57359e-06
 87791e+01	 29038e-04	 59716e-06
 58528e+01	 29202e-04	 61204e-06
 39018e+01	 29373e-04	 62364e-06
 26012e+01	 29561e-04	 62971e-06
 17342e+01	 29733e-04	 63210e-06
 11561e+01	 29904e-04	 63098e-06
 77073e+00	 30076e-04	 62651e-06
 51382e+00	 30243e-04	 61950e-06
 34255e+00	 30410e-04	 61015e-06
 22837e+00	 30572e-04	 60002e-06
 15224e+00	 30730e-04	 58960e-06
 10150e+00	 30882e-04	 58045e-06
 67664e-01	 31040e-04	 57397e-06
 45109e-01	 31188e-04	 57146e-06
 30073e-01	 31333e-04	 57380e-06
 20049e-01	 31477e-04	 58319e-06
 13366e-01	 31622e-04	 59985e-06
 89105e-02	 31773e-04	 62605e-06
 59403e-02	 31930e-04	 66225e-06
 39602e-02	 32095e-04	 70981e-06
 26401e-02	 32273e-04	 77054e-06
 17601e-02	 32465e-04	 84583e-06
 11734e-02	 32677e-04	 93756e-06
 78226e-03	 32911e-04	 10479e-05
 52151e-03	 33174e-04	 11791e-05
 34767e-03	 33466e-04	 13362e-05
 23178e-03	 33798e-04	 15207e-05
 15452e-03	 34176e-04	 17370e-05
 10301e-03	 34605e-04	 19920e-05
 68676e-04	 35098e-04	 22912e-05
 45784e-04	 35664e-04	 26413e-05
 30523e-04	 36316e-04	 30635e-05
 20348e-04	 37065e-04	 35414e-05
 13566e-04	 37938e-04	 40889e-05
 90438e-05	 38924e-04	 47865e-05
 60292e-05	 40090e-04	 56208e-05
 40195e-05	 41498e-04	 65569e-05
 26796e-05	 43162e-04	 76811e-05
 17864e-05	 45129e-04	 90055e-05
 11909e-05	 47449e-04	 10529e-04
 79397e-06	 50278e-04	 12388e-04
 52931e-06	 53824e-04	 14383e-04
 35287e-06	 58290e-04	 16952e-04
 23525e-06	 63792e-04	 19786e-04
 15683e-06	 70142e-04	 22594e-04
 10000e-06	 78939e-04	 26029e-04
