3-flouroaniline, 100 micron spacers  Temp. [K]=1.3700e+02
Fixed value(s) :  Temp. [K] = 1.370e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26297e-04	 33429e-06
 66667e+02	 26169e-04	 17796e-06
 44444e+02	 26078e-04	 11115e-06
 29630e+02	 26032e-04	 11427e-06
 19753e+02	 26016e-04	 12143e-06
 13169e+02	 26037e-04	 13264e-06
 87791e+01	 26071e-04	 14316e-06
 58528e+01	 26103e-04	 15067e-06
 39018e+01	 26140e-04	 16078e-06
 26012e+01	 26181e-04	 17019e-06
 17342e+01	 26233e-04	 18586e-06
 11561e+01	 26279e-04	 18491e-06
 77073e+00	 26325e-04	 19211e-06
 51382e+00	 26375e-04	 19973e-06
 34255e+00	 26428e-04	 20737e-06
 22837e+00	 26482e-04	 21475e-06
 15224e+00	 26539e-04	 22038e-06
 10150e+00	 26597e-04	 22603e-06
 67664e-01	 26657e-04	 23031e-06
 45109e-01	 26718e-04	 23433e-06
 30073e-01	 26780e-04	 23700e-06
 20049e-01	 26842e-04	 23889e-06
 13366e-01	 26905e-04	 23948e-06
 89105e-02	 26968e-04	 23904e-06
 59403e-02	 27030e-04	 23797e-06
 39602e-02	 27092e-04	 23580e-06
 26401e-02	 27154e-04	 23307e-06
 17601e-02	 27214e-04	 22916e-06
 11734e-02	 27273e-04	 22523e-06
 78226e-03	 27330e-04	 22018e-06
 52151e-03	 27386e-04	 21465e-06
 34767e-03	 27441e-04	 20997e-06
 23178e-03	 27494e-04	 20503e-06
 15452e-03	 27546e-04	 20055e-06
 10301e-03	 27596e-04	 19618e-06
 68676e-04	 27645e-04	 19205e-06
 45784e-04	 27693e-04	 18932e-06
 30523e-04	 27739e-04	 18665e-06
 20348e-04	 27785e-04	 18534e-06
 13566e-04	 27832e-04	 18667e-06
 90438e-05	 27878e-04	 18814e-06
 60292e-05	 27923e-04	 19097e-06
 40195e-05	 27970e-04	 19587e-06
 26796e-05	 28020e-04	 20255e-06
 17864e-05	 28068e-04	 21061e-06
 11909e-05	 28121e-04	 21928e-06
 79397e-06	 28172e-04	 23402e-06
 52931e-06	 28230e-04	 24644e-06
 35287e-06	 28293e-04	 26193e-06
 23525e-06	 28354e-04	 28244e-06
 15683e-06	 28417e-04	 30566e-06
 10000e-06	 28501e-04	 33110e-06
