3-flouroaniline, 100 micron spacers  Temp. [K]=1.2800e+02
Fixed value(s) :  Temp. [K] = 1.280e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26241e-04	 31280e-06
 66667e+02	 26108e-04	 15526e-06
 44444e+02	 26013e-04	 87087e-07
 29630e+02	 25961e-04	 87770e-07
 19753e+02	 25939e-04	 92482e-07
 13169e+02	 25951e-04	 10193e-06
 87791e+01	 25977e-04	 10954e-06
 58528e+01	 26000e-04	 11457e-06
 39018e+01	 26028e-04	 12252e-06
 26012e+01	 26058e-04	 13155e-06
 17342e+01	 26094e-04	 14817e-06
 11561e+01	 26136e-04	 14454e-06
 77073e+00	 26169e-04	 14838e-06
 51382e+00	 26207e-04	 15511e-06
 34255e+00	 26248e-04	 16247e-06
 22837e+00	 26291e-04	 16942e-06
 15224e+00	 26335e-04	 17649e-06
 10150e+00	 26381e-04	 18240e-06
 67664e-01	 26430e-04	 18884e-06
 45109e-01	 26480e-04	 19431e-06
 30073e-01	 26531e-04	 19887e-06
 20049e-01	 26584e-04	 20335e-06
 13366e-01	 26637e-04	 20669e-06
 89105e-02	 26692e-04	 20957e-06
 59403e-02	 26747e-04	 21138e-06
 39602e-02	 26802e-04	 21306e-06
 26401e-02	 26858e-04	 21354e-06
 17601e-02	 26914e-04	 21317e-06
 11734e-02	 26969e-04	 21191e-06
 78226e-03	 27025e-04	 21092e-06
 52151e-03	 27079e-04	 20571e-06
 34767e-03	 27133e-04	 20577e-06
 23178e-03	 27185e-04	 20201e-06
 15452e-03	 27237e-04	 19831e-06
 10301e-03	 27288e-04	 19426e-06
 68676e-04	 27338e-04	 19105e-06
 45784e-04	 27386e-04	 18730e-06
 30523e-04	 27433e-04	 18359e-06
 20348e-04	 27479e-04	 17996e-06
 13566e-04	 27524e-04	 17659e-06
 90438e-05	 27569e-04	 17301e-06
 60292e-05	 27609e-04	 17022e-06
 40195e-05	 27652e-04	 16940e-06
 26796e-05	 27694e-04	 16951e-06
 17864e-05	 27736e-04	 16890e-06
 11909e-05	 27776e-04	 17176e-06
 79397e-06	 27817e-04	 17448e-06
 52931e-06	 27860e-04	 17590e-06
 35287e-06	 27903e-04	 17946e-06
 23525e-06	 27946e-04	 18766e-06
 15683e-06	 27990e-04	 19639e-06
 10000e-06	 28042e-04	 20417e-06
