3-flouroaniline, 100 micron spacers  Temp. [K]=1.6700e+02
Fixed value(s) :  Temp. [K] = 1.670e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 27070e-04	 52577e-06
 66667e+02	 26969e-04	 36648e-06
 44444e+02	 26916e-04	 30764e-06
 29630e+02	 26921e-04	 32243e-06
 19753e+02	 26958e-04	 34064e-06
 13169e+02	 27037e-04	 36061e-06
 87791e+01	 27135e-04	 37830e-06
 58528e+01	 27231e-04	 38997e-06
 39018e+01	 27334e-04	 40181e-06
 26012e+01	 27444e-04	 41364e-06
 17342e+01	 27552e-04	 41076e-06
 11561e+01	 27661e-04	 41230e-06
 77073e+00	 27770e-04	 41183e-06
 51382e+00	 27878e-04	 40850e-06
 34255e+00	 27983e-04	 40332e-06
 22837e+00	 28090e-04	 39631e-06
 15224e+00	 28193e-04	 38675e-06
 10150e+00	 28293e-04	 37650e-06
 67664e-01	 28388e-04	 36602e-06
 45109e-01	 28477e-04	 35546e-06
 30073e-01	 28567e-04	 34542e-06
 20049e-01	 28654e-04	 33637e-06
 13366e-01	 28740e-04	 32972e-06
 89105e-02	 28820e-04	 32520e-06
 59403e-02	 28900e-04	 32348e-06
 39602e-02	 28979e-04	 32547e-06
 26401e-02	 29058e-04	 33101e-06
 17601e-02	 29139e-04	 34081e-06
 11734e-02	 29222e-04	 35496e-06
 78226e-03	 29309e-04	 37460e-06
 52151e-03	 29401e-04	 39925e-06
 34767e-03	 29500e-04	 42884e-06
 23178e-03	 29606e-04	 46515e-06
 15452e-03	 29721e-04	 50847e-06
 10301e-03	 29849e-04	 55767e-06
 68676e-04	 29989e-04	 61632e-06
 45784e-04	 30144e-04	 68341e-06
 30523e-04	 30316e-04	 75822e-06
 20348e-04	 30508e-04	 84515e-06
 13566e-04	 30721e-04	 94368e-06
 90438e-05	 30963e-04	 10532e-05
 60292e-05	 31230e-04	 11819e-05
 40195e-05	 31525e-04	 13187e-05
 26796e-05	 31879e-04	 14632e-05
 17864e-05	 32241e-04	 16563e-05
 11909e-05	 32635e-04	 18419e-05
 79397e-06	 33090e-04	 20626e-05
 52931e-06	 33603e-04	 23110e-05
 35287e-06	 34158e-04	 25984e-05
 23525e-06	 34762e-04	 29123e-05
 15683e-06	 35424e-04	 32460e-05
 10000e-06	 36152e-04	 36591e-05
