3-flouroaniline, 100 micron spacers  Temp. [K]=2.0600e+02
Fixed value(s) :  Temp. [K] = 2.060e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 64147e-04	 36409e-04
 66667e+02	 78379e-04	 40581e-04
 44444e+02	 92316e-04	 43093e-04
 29630e+02	 10743e-03	 43492e-04
 19753e+02	 12215e-03	 40240e-04
 13169e+02	 13445e-03	 33967e-04
 87791e+01	 14299e-03	 26313e-04
 58528e+01	 14777e-03	 18920e-04
 39018e+01	 15034e-03	 13160e-04
 26012e+01	 15156e-03	 90137e-05
 17342e+01	 15215e-03	 61173e-05
 11561e+01	 15241e-03	 41599e-05
 77073e+00	 15254e-03	 28587e-05
 51382e+00	 15261e-03	 20140e-05
 34255e+00	 15264e-03	 14918e-05
 22837e+00	 15266e-03	 12042e-05
 15224e+00	 15267e-03	 11043e-05
 10150e+00	 15269e-03	 11740e-05
 67664e-01	 15270e-03	 14278e-05
 45109e-01	 15272e-03	 19047e-05
 30073e-01	 15273e-03	 26845e-05
 20049e-01	 15276e-03	 38915e-05
 13366e-01	 15278e-03	 57217e-05
 89105e-02	 15282e-03	 84875e-05
 59403e-02	 15287e-03	 12632e-04
 39602e-02	 15294e-03	 18834e-04
 26401e-02	 15304e-03	 28114e-04
 17601e-02	 15318e-03	 42000e-04
 11734e-02	 15339e-03	 62765e-04
 78226e-03	 15371e-03	 93822e-04
 52151e-03	 15420e-03	 14027e-03
 34767e-03	 15483e-03	 20972e-03
 23178e-03	 15570e-03	 31361e-03
 15452e-03	 15685e-03	 46915e-03
 10301e-03	 15858e-03	 70215e-03
 68676e-04	 16098e-03	 10512e-02
 45784e-04	 16578e-03	 15750e-02
 30523e-04	 17358e-03	 23575e-02
 20348e-04	 18826e-03	 35306e-02
 13566e-04	 21683e-03	 52869e-02
 90438e-05	 27552e-03	 79191e-02
 60292e-05	 39444e-03	 11850e-01
 40195e-05	 63597e-03	 17727e-01
 26796e-05	 11296e-02	 26500e-01
 17864e-05	 21472e-02	 39536e-01
 11909e-05	 42388e-02	 58928e-01
 79397e-06	 83200e-02	 87623e-01
 52931e-06	 16163e-01	 12976e+00
 35287e-06	 30747e-01	 19050e+00
 23525e-06	 55411e-01	 27303e+00
 15683e-06	 95344e-01	 38835e+00
 10000e-06	 15878e+00	 56149e+00
