3-flouroaniline, 100 micron spacers  Temp. [K]=2.2000e+02
Fixed value(s) :  Temp. [K] = 2.200e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 21495e-03	 12550e-03
 66667e+02	 20051e-03	 73185e-04
 44444e+02	 17818e-03	 12768e-04
 29630e+02	 17961e-03	 80423e-05
 19753e+02	 17998e-03	 51128e-05
 13169e+02	 18020e-03	 34643e-05
 87791e+01	 18026e-03	 24332e-05
 58528e+01	 18031e-03	 17272e-05
 39018e+01	 18033e-03	 13101e-05
 26012e+01	 18035e-03	 11262e-05
 17342e+01	 18037e-03	 11074e-05
 11561e+01	 18039e-03	 12657e-05
 77073e+00	 18040e-03	 16309e-05
 51382e+00	 18041e-03	 22611e-05
 34255e+00	 18043e-03	 32599e-05
 22837e+00	 18042e-03	 47939e-05
 15224e+00	 18047e-03	 71155e-05
 10150e+00	 18051e-03	 10603e-04
 67664e-01	 18055e-03	 15839e-04
 45109e-01	 18060e-03	 23672e-04
 30073e-01	 18071e-03	 35421e-04
 20049e-01	 18082e-03	 53012e-04
 13366e-01	 18092e-03	 79337e-04
 89105e-02	 18105e-03	 11880e-03
 59403e-02	 18121e-03	 17794e-03
 39602e-02	 18144e-03	 26660e-03
 26401e-02	 18179e-03	 39960e-03
 17601e-02	 18236e-03	 59884e-03
 11734e-02	 18335e-03	 89745e-03
 78226e-03	 18528e-03	 13448e-02
 52151e-03	 18919e-03	 20158e-02
 34767e-03	 19721e-03	 30211e-02
 23178e-03	 21319e-03	 45274e-02
 15452e-03	 24612e-03	 67827e-02
 10301e-03	 31314e-03	 10158e-01
 68676e-04	 44999e-03	 15206e-01
 45784e-04	 72988e-03	 22746e-01
 30523e-04	 12969e-02	 33974e-01
 20348e-04	 24500e-02	 50701e-01
 13566e-04	 46988e-02	 75459e-01
 90438e-05	 91681e-02	 11185e+00
 60292e-05	 17256e-01	 16499e+00
 40195e-05	 31892e-01	 24210e+00
 26796e-05	 55321e-01	 35183e+00
 17864e-05	 92950e-01	 50705e+00
 11909e-05	 14905e+00	 72745e+00
 79397e-06	 23430e+00	 10376e+01
 52931e-06	 36496e+00	 14714e+01
 35287e-06	 56392e+00	 20670e+01
 23525e-06	 85197e+00	 28578e+01
 15683e-06	 12419e+01	 38981e+01
 10000e-06	 18155e+01	 55061e+01
