3-flouroaniline, 100 micron spacers  Temp. [K]=2.0300e+02
Fixed value(s) :  Temp. [K] = 2.030e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 55855e-04	 26414e-04
 66667e+02	 64695e-04	 30741e-04
 44444e+02	 73635e-04	 35403e-04
 29630e+02	 84610e-04	 40210e-04
 19753e+02	 97694e-04	 44015e-04
 13169e+02	 11287e-03	 45562e-04
 87791e+01	 12840e-03	 43519e-04
 58528e+01	 14191e-03	 37555e-04
 39018e+01	 15164e-03	 29499e-04
 26012e+01	 15758e-03	 21669e-04
 17342e+01	 16076e-03	 15196e-04
 11561e+01	 16231e-03	 10413e-04
 77073e+00	 16303e-03	 70716e-05
 51382e+00	 16335e-03	 48034e-05
 34255e+00	 16350e-03	 32918e-05
 22837e+00	 16356e-03	 23030e-05
 15224e+00	 16358e-03	 16840e-05
 10150e+00	 16359e-03	 13345e-05
 67664e-01	 16359e-03	 11988e-05
 45109e-01	 16359e-03	 12506e-05
 30073e-01	 16359e-03	 14981e-05
 20049e-01	 16358e-03	 19838e-05
 13366e-01	 16359e-03	 27917e-05
 89105e-02	 16359e-03	 40418e-05
 59403e-02	 16360e-03	 59463e-05
 39602e-02	 16362e-03	 88227e-05
 26401e-02	 16365e-03	 13132e-04
 17601e-02	 16370e-03	 19585e-04
 11734e-02	 16378e-03	 29240e-04
 78226e-03	 16390e-03	 43682e-04
 52151e-03	 16407e-03	 65282e-04
 34767e-03	 16436e-03	 97599e-04
 23178e-03	 16474e-03	 14592e-03
 15452e-03	 16531e-03	 21826e-03
 10301e-03	 16604e-03	 32643e-03
 68676e-04	 16715e-03	 48839e-03
 45784e-04	 16885e-03	 73105e-03
 30523e-04	 17163e-03	 10940e-02
 20348e-04	 17635e-03	 16378e-02
 13566e-04	 18466e-03	 24517e-02
 90438e-05	 20001e-03	 36699e-02
 60292e-05	 22962e-03	 54919e-02
 40195e-05	 28836e-03	 82166e-02
 26796e-05	 40792e-03	 12288e-01
 17864e-05	 65488e-03	 18356e-01
 11909e-05	 11728e-02	 27422e-01
 79397e-06	 22331e-02	 41023e-01
 52931e-06	 43551e-02	 61264e-01
 35287e-06	 85072e-02	 90769e-01
 23525e-06	 16413e-01	 13305e+00
 15683e-06	 30670e-01	 19214e+00
 10000e-06	 58420e-01	 28411e+00
