3-flouroaniline, 100 micron spacers  Temp. [K]=2.1200e+02
Fixed value(s) :  Temp. [K] = 2.120e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 12340e-03	 15774e-03
 66667e+02	 16305e-03	 11150e-03
 44444e+02	 16981e-03	 42418e-04
 29630e+02	 17946e-03	 30044e-04
 19753e+02	 18400e-03	 20571e-04
 13169e+02	 18624e-03	 14029e-04
 87791e+01	 18731e-03	 95791e-05
 58528e+01	 18777e-03	 64576e-05
 39018e+01	 18799e-03	 43853e-05
 26012e+01	 18810e-03	 30415e-05
 17342e+01	 18815e-03	 21731e-05
 11561e+01	 18818e-03	 16565e-05
 77073e+00	 18821e-03	 14062e-05
 51382e+00	 18824e-03	 13804e-05
 34255e+00	 18826e-03	 15726e-05
 22837e+00	 18829e-03	 20133e-05
 15224e+00	 18831e-03	 27749e-05
 10150e+00	 18833e-03	 39845e-05
 67664e-01	 18836e-03	 58431e-05
 45109e-01	 18840e-03	 86490e-05
 30073e-01	 18844e-03	 12876e-04
 20049e-01	 18852e-03	 19217e-04
 13366e-01	 18856e-03	 28716e-04
 89105e-02	 18865e-03	 42945e-04
 59403e-02	 18876e-03	 64262e-04
 39602e-02	 18888e-03	 96201e-04
 26401e-02	 18905e-03	 14407e-03
 17601e-02	 18927e-03	 21586e-03
 11734e-02	 18954e-03	 32346e-03
 78226e-03	 18997e-03	 48481e-03
 52151e-03	 19082e-03	 72687e-03
 34767e-03	 19231e-03	 10896e-02
 23178e-03	 19477e-03	 16338e-02
 15452e-03	 20017e-03	 24491e-02
 10301e-03	 21109e-03	 36711e-02
 68676e-04	 23325e-03	 55021e-02
 45784e-04	 27862e-03	 82443e-02
 30523e-04	 37242e-03	 12345e-01
 20348e-04	 56790e-03	 18484e-01
 13566e-04	 96566e-03	 27646e-01
 90438e-05	 17989e-02	 41307e-01
 60292e-05	 34676e-02	 61650e-01
 40195e-05	 68131e-02	 91742e-01
 26796e-05	 13135e-01	 13591e+00
 17864e-05	 25476e-01	 20046e+00
 11909e-05	 46868e-01	 29357e+00
 79397e-06	 83114e-01	 42506e+00
 52931e-06	 14200e+00	 60849e+00
 35287e-06	 23136e+00	 85985e+00
 23525e-06	 35609e+00	 11988e+01
 15683e-06	 52126e+00	 16509e+01
 10000e-06	 77029e+00	 23277e+01
