3-flouroaniline, 100 micron spacers  Temp. [K]=1.5500e+02
Fixed value(s) :  Temp. [K] = 1.550e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26553e-04	 40979e-06
 66667e+02	 26438e-04	 25664e-06
 44444e+02	 26364e-04	 19507e-06
 29630e+02	 26341e-04	 20476e-06
 19753e+02	 26348e-04	 21841e-06
 13169e+02	 26394e-04	 23580e-06
 87791e+01	 26458e-04	 25101e-06
 58528e+01	 26519e-04	 26192e-06
 39018e+01	 26588e-04	 27592e-06
 26012e+01	 26659e-04	 28911e-06
 17342e+01	 26740e-04	 29630e-06
 11561e+01	 26817e-04	 29944e-06
 77073e+00	 26895e-04	 30544e-06
 51382e+00	 26976e-04	 30977e-06
 34255e+00	 27057e-04	 31292e-06
 22837e+00	 27140e-04	 31394e-06
 15224e+00	 27224e-04	 31333e-06
 10150e+00	 27306e-04	 31097e-06
 67664e-01	 27387e-04	 30763e-06
 45109e-01	 27465e-04	 30279e-06
 30073e-01	 27544e-04	 29657e-06
 20049e-01	 27621e-04	 28949e-06
 13366e-01	 27695e-04	 28231e-06
 89105e-02	 27767e-04	 27455e-06
 59403e-02	 27836e-04	 26686e-06
 39602e-02	 27903e-04	 25985e-06
 26401e-02	 27968e-04	 25390e-06
 17601e-02	 28030e-04	 24845e-06
 11734e-02	 28092e-04	 24458e-06
 78226e-03	 28152e-04	 24229e-06
 52151e-03	 28212e-04	 24232e-06
 34767e-03	 28271e-04	 24460e-06
 23178e-03	 28331e-04	 24994e-06
 15452e-03	 28392e-04	 25723e-06
 10301e-03	 28455e-04	 26778e-06
 68676e-04	 28521e-04	 28076e-06
 45784e-04	 28591e-04	 29852e-06
 30523e-04	 28665e-04	 31905e-06
 20348e-04	 28744e-04	 34372e-06
 13566e-04	 28830e-04	 37411e-06
 90438e-05	 28924e-04	 40577e-06
 60292e-05	 29024e-04	 44465e-06
 40195e-05	 29136e-04	 48674e-06
 26796e-05	 29259e-04	 53932e-06
 17864e-05	 29393e-04	 59722e-06
 11909e-05	 29540e-04	 66197e-06
 79397e-06	 29696e-04	 73845e-06
 52931e-06	 29886e-04	 80718e-06
 35287e-06	 30092e-04	 89709e-06
 23525e-06	 30305e-04	 99352e-06
 15683e-06	 30533e-04	 10842e-05
 10000e-06	 30825e-04	 12204e-05
