3-flouroaniline, 100 micron spacers  Temp. [K]=1.1000e+02
Fixed value(s) :  Temp. [K] = 1.100e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26211e-04	 29276e-06
 66667e+02	 26075e-04	 13246e-06
 44444e+02	 25973e-04	 59484e-07
 29630e+02	 25913e-04	 55396e-07
 19753e+02	 25882e-04	 56911e-07
 13169e+02	 25885e-04	 62732e-07
 87791e+01	 25901e-04	 66402e-07
 58528e+01	 25911e-04	 67556e-07
 39018e+01	 25927e-04	 71858e-07
 26012e+01	 25943e-04	 77150e-07
 17342e+01	 25960e-04	 84388e-07
 11561e+01	 25990e-04	 88169e-07
 77073e+00	 26011e-04	 85732e-07
 51382e+00	 26031e-04	 88127e-07
 34255e+00	 26054e-04	 91844e-07
 22837e+00	 26077e-04	 96719e-07
 15224e+00	 26101e-04	 10124e-06
 10150e+00	 26128e-04	 10601e-06
 67664e-01	 26156e-04	 11112e-06
 45109e-01	 26186e-04	 11600e-06
 30073e-01	 26216e-04	 12062e-06
 20049e-01	 26248e-04	 12507e-06
 13366e-01	 26280e-04	 12935e-06
 89105e-02	 26314e-04	 13363e-06
 59403e-02	 26349e-04	 13785e-06
 39602e-02	 26385e-04	 14146e-06
 26401e-02	 26422e-04	 14537e-06
 17601e-02	 26460e-04	 14871e-06
 11734e-02	 26500e-04	 15217e-06
 78226e-03	 26539e-04	 15491e-06
 52151e-03	 26580e-04	 15658e-06
 34767e-03	 26621e-04	 16028e-06
 23178e-03	 26663e-04	 16245e-06
 15452e-03	 26706e-04	 16379e-06
 10301e-03	 26748e-04	 16464e-06
 68676e-04	 26792e-04	 16693e-06
 45784e-04	 26834e-04	 16661e-06
 30523e-04	 26878e-04	 16641e-06
 20348e-04	 26921e-04	 16647e-06
 13566e-04	 26964e-04	 16622e-06
 90438e-05	 27008e-04	 16582e-06
 60292e-05	 27049e-04	 16400e-06
 40195e-05	 27092e-04	 16277e-06
 26796e-05	 27135e-04	 15995e-06
 17864e-05	 27177e-04	 15969e-06
 11909e-05	 27218e-04	 15688e-06
 79397e-06	 27259e-04	 15573e-06
 52931e-06	 27298e-04	 15357e-06
 35287e-06	 27338e-04	 15027e-06
 23525e-06	 27376e-04	 14866e-06
 15683e-06	 27414e-04	 14869e-06
 10000e-06	 27456e-04	 14372e-06
